location,area_sqft,bhk,bathrooms,floor,total_floors,age_of_property,parking,lift,actual_price
Kharghar,1423.03,2,2.5295887662988967,2,9.0,7.4,0,1,20537792
Ghansoli,87.95,2,1.0,7,34.0,9.4,1,0,718677
Vashi,569.3,3,4.0,24,19.846280312371558,18.9,1,0,10100267
Ulwe,941.26,1,2.5295887662988967,8,27.0,12.2,0,0,13301014
Panvel,1322.97,2.4597701149425286,4.0,17,17.0,5.5,0,1,18095015
CBD Belapur,121.53,2,1.0,9,12.0,14.0,1,0,1647793
panvel,1006.35,3,2.0,0,1.0,2.6,1,1,14043708
Airoli,1078.31,3,4.0,24,19.846280312371558,9.2,1,1,17259664
Belapur,1327.99,1,2.5295887662988967,25,37.0,6.6,0,1,25026215
KHARGHAR,607.92,4,3.0,4,18.0,24.3409720571534,0,1,8323583
Nerul,432.13,2.4597701149425286,2.0,22,20.0,15.0,1,0,6119348
Panvel,653.77,4,1.0,1,6.0,7.0,0,0,9758083
KHARGHAR,583.12,2,2.5295887662988967,31,38.0,2.6,1,0,11281278
Vashi,3430.9657487994687,2,2.5295887662988967,5,20.0,0.1,0,1,50507091.96410894
Ghansoli,1327.02,2,4.0,6,8.0,24.3409720571534,0,0,16109291
CBD Belapur,1095.64,3,2.0,4,19.846280312371558,5.1,1,1,14130868
KHARGHAR,692.89,3,2.0,5,21.0,5.2,0,1,11982409
Nerul,225.18,1,4.0,22,20.0,11.8,1,0,3831463
Ghansoli,728.52,2,3.0,16.55400254129606,28.0,3.7,0,1,12311783
CBD Belapur,1333.01,2,2.0,13,10.0,2.8,1,0,13981002
Panvel,981.56,1,1.0,13,32.0,8.1,1,0,15553894
Kharghar,1656.42,2,1.0,23,20.0,24.3409720571534,1,0,25899575
Belapur,514.16,1,4.0,7,16.0,17.8,0,0,8174391
Ghansoli,818.65,1,1.0,11,19.0,10.2,0,1,13502561
Nerul,1337.13,2,4.0,5,16.0,14.0,0,0,24286215
Kharghar,782.89,2,4.0,23,24.0,1.4,1,1,9670521
Ghansoli,993.42,3,2.0,26,33.0,7.8,1,0,13211469
Panvel,940.11,3,2.0,0,6.0,7.2,0,0,11369920
Vashi,713.48,1,4.0,29,35.0,3.0,0,1,6959537
Panvel,634.3,2.4597701149425286,2.5295887662988967,16.55400254129606,31.0,12.5,0,0,5743876
CBD Belapur,620.72,2,2.0,22,19.846280312371558,12.4,1,0,10886985
Airoli,1056.06,4,2.5295887662988967,0,33.0,11.9,0,0,20958670
Vashi,1008.83,4,1.0,15,7.0,11.3,0,1,20782802
KHARGHAR,659.46,1,4.0,21,19.846280312371558,5.9,1,0,9031445
Nerul,1390.53,2,3.0,29,32.0,1.1,0,1,27826920
Vashi,1451.92,2.4597701149425286,2.0,16.55400254129606,4.0,6.6,0,1,18602675
CBD Belapur,1624.86,2.4597701149425286,1.0,20,28.0,13.3,1,1,25727334
Nerul,418.76,3,3.0,27,27.0,11.1,1,0,6814215
nerul,1034.56,4,2.5295887662988967,23,31.0,14.4,1,0,18183359
CBD Belapur,1192.74,1,2.0,28,38.0,20.3,0,1,12513493
Vashi,707.4,2,2.0,1,18.0,10.7,0,0,6913616
Belapur,346.79,3,1.0,23,8.0,14.0,1,0,5699938
Airoli,1151.1,4,4.0,23,25.0,7.0,0,1,25019755
panvel,1286.92,2,2.0,29,18.0,8.1,0,1,21853968
Ghansoli,1832.21,2,3.0,5,28.0,15.2,1,0,29608780
Nerul,910.66,1,2.5295887662988967,24,23.0,2.1,0,1,14964643
Belapur,134.16,2.4597701149425286,2.0,25,32.0,0.2,0,0,1440385
Nerul,464.18,2.4597701149425286,3.0,2,14.0,4.8,1,0,4110811
CBD Belapur,877.45,4,1.0,11,29.0,5.0,0,1,14499917
Panvel,1027.06,2,4.0,25,37.0,10.2,0,1,13709853
Airoli,495.81,2.4597701149425286,4.0,9,20.0,10.9,0,1,7098612
Kharghar,-211.79,4,2.5295887662988967,21,4.0,11.5,0,1,-4499020
panvel,1489.65,2,1.0,26,3.0,14.3,1,0,14840349
Ulwe,912.22,2.4597701149425286,2.0,33,35.0,10.5,1,0,14843842
Airoli,736.34,2,2.0,29,24.0,1.7,0,0,7435056
nerul,771.11,2.4597701149425286,4.0,9,4.0,2.4,1,0,8320345
Ulwe,569.23,3,3.0,28,30.0,10.6,1,0,9534200
Nerul,907.56,2,2.0,2,15.0,15.4,0,1,16181090
KHARGHAR,1127.4,4,3.0,16.55400254129606,1.0,1.1,0,1,15112517
KHARGHAR,1298.3,2,3.0,19,11.0,13.7,0,0,14601909
Ghansoli,525.0,2,2.0,30,19.846280312371558,7.3,0,0,7200525
Airoli,863.76,2.4597701149425286,1.0,22,15.0,5.8,1,0,14972812
Kharghar,362.99,2.4597701149425286,2.5295887662988967,8,28.0,9.0,0,0,6059624
Vashi,994.72,2,2.5295887662988967,26,1.0,14.0,1,0,9330374
Kharghar,545.91,4,3.0,16.55400254129606,25.0,5.0,1,0,11796518
panvel,563.25,3,2.5295887662988967,32,13.0,15.1,0,1,8743140
Nerul,444.99,2.4597701149425286,4.0,12,19.0,1.9,1,0,4513383
panvel,2919.05,2.4597701149425286,4.0,27,18.0,8.8,1,1,47420366
Ghansoli,395.58,2.4597701149425286,3.0,10,30.0,9.1,0,0,6691435
Ghansoli,522.09,4,1.0,13,13.0,1.2,1,1,8747720
panvel,648.63,1,3.0,34,27.0,10.8,0,0,8930428
Airoli,356.38,1,2.0,24,7.0,6.7,1,0,3535044
Vashi,1179.38,2,2.5295887662988967,21,21.0,17.0,0,1,15710049
panvel,1215.46,2,4.0,10,25.0,14.4,0,0,18271593
Airoli,1027.73,1,4.0,23,4.0,7.1,0,1,18946353
Kharghar,365.2,2,2.0,7,5.0,16.0,0,0,3919455
Airoli,699.02,1,1.0,20,36.0,8.4,0,1,6678698
Airoli,661.37,3,2.5295887662988967,22,34.0,8.8,0,0,13016118
Airoli,1875.86,2.4597701149425286,1.0,16.55400254129606,25.0,3.2,0,1,21513115
CBD Belapur,643.98,1,2.5295887662988967,11,26.0,15.0,0,0,11161969
CBD Belapur,1153.39,1,3.0,4,30.0,6.9,0,0,21207751
Ulwe,1453.69,4,2.0,28,8.0,14.9,0,0,30652856
nerul,416.16,2,1.0,23,37.0,5.7,0,0,7743841
Airoli,853.88,2,3.0,20,26.0,3.5,0,0,8416452
panvel,517.43,4,1.0,30,33.0,10.0,0,0,6272748
Airoli,1195.38,2.4597701149425286,4.0,1,12.0,7.8,0,0,13202559
Panvel,588.37,3,2.0,33,19.846280312371558,1.3,0,1,10102471
Ghansoli,195.74,1,2.5295887662988967,28,24.0,11.1,1,1,2339495
nerul,205.22,4,4.0,12,37.0,8.7,1,1,3040370
Ulwe,1348.17,1,3.0,16,39.0,11.5,0,0,14350479
Airoli,1711.02,3,2.0,19,17.0,24.3409720571534,1,1,25967260
Kharghar,1047.25,2,4.0,19,18.0,7.6,1,1,20422314
Kharghar,3430.9657487994687,3,2.0,12,22.0,19.1,0,0,50507091.96410894
Ghansoli,1163.82,2,2.0,6,19.0,12.0,1,1,19405632
Airoli,725.08,2,3.0,2,30.0,1.9,0,1,8589356
Kharghar,95.68,2.4597701149425286,3.0,5,39.0,12.6,0,0,899463
KHARGHAR,709.8,2,2.0,25,11.0,8.3,0,0,7186796
panvel,1468.35,2,4.0,27,39.0,3.7,1,1,19925517
panvel,614.31,3,2.5295887662988967,11,33.0,6.1,1,1,11091795
Ulwe,812.85,2,1.0,16.55400254129606,27.0,9.7,0,1,9122759
Airoli,896.95,3,2.5295887662988967,19,38.0,2.2,0,0,13627499
Airoli,822.07,3,3.0,16,37.0,8.9,1,0,9832374
Ulwe,668.66,2.4597701149425286,2.5295887662988967,23,37.0,4.8,0,1,10743122
Airoli,438.69,2,4.0,26,36.0,6.3,0,1,8055732
nerul,1146.81,2.4597701149425286,4.0,31,19.846280312371558,20.4,0,0,19146063
panvel,1000.57,2,1.0,31,17.0,0.9,0,1,15970575
KHARGHAR,1166.58,2,2.5295887662988967,9,16.0,1.5,0,1,15343160
Ghansoli,1055.71,1,1.0,19,9.0,3.4,1,0,14456867
Ghansoli,1344.18,2,2.5295887662988967,2,38.0,13.2,0,1,25683849
panvel,870.99,3,1.0,24,20.0,3.4,1,0,16246411
Vashi,1126.19,4,2.5295887662988967,18,33.0,16.4,0,0,18817602
Ulwe,240.79,2,2.0,24,25.0,15.6,0,1,3384933
KHARGHAR,1378.15,2.4597701149425286,4.0,24,21.0,15.6,0,0,12879613
Panvel,88.64,3,3.0,21,36.0,4.2,0,0,464432
Airoli,1236.53,1,3.0,28,30.0,24.3409720571534,1,1,17618234
Belapur,755.73,4,3.0,24,5.0,2.0,0,0,12860414
Airoli,1435.27,4,3.0,8,20.0,11.2,1,1,28102785
KHARGHAR,690.86,1,4.0,6,8.0,7.7,0,0,7589874
Belapur,833.25,2,4.0,18,11.0,2.3,1,0,14466756
Ulwe,815.25,2,2.5295887662988967,16.55400254129606,8.0,17.1,0,0,11951338
Panvel,208.79,1,2.0,28,8.0,7.3,0,1,2135846
Ulwe,1236.68,3,3.0,17,30.0,0.5,1,0,24394507
Ulwe,304.58,2,1.0,23,1.0,16.8,0,1,5600535
Ulwe,1369.82,1,1.0,5,23.0,4.8,0,1,14039147
Panvel,1199.56,2.4597701149425286,3.0,30,25.0,1.9,1,0,12810285
panvel,753.68,3,2.0,16.55400254129606,26.0,3.5,0,0,12539597
Belapur,553.39,2,1.0,2,25.0,8.6,0,0,8964340
KHARGHAR,3430.9657487994687,4,3.0,8,21.0,5.2,0,1,50507091.96410894
Belapur,950.48,4,1.0,32,25.0,3.1,0,1,18331469
Ghansoli,1015.28,2.4597701149425286,4.0,9,9.0,3.7,1,1,10229745
KHARGHAR,1530.03,3,3.0,5,6.0,0.4,0,1,27323029
Nerul,771.29,4,4.0,30,19.0,15.2,1,0,13998842
Belapur,1096.31,2,2.5295887662988967,1,3.0,15.0,0,0,14733383
Ulwe,632.73,3,2.0,12,16.0,13.2,0,0,8043762
Ulwe,128.85,1,2.5295887662988967,31,39.0,0.9,0,1,3008400
Nerul,1109.38,2,4.0,21,29.0,9.5,1,0,12436033
KHARGHAR,1172.73,2,2.0,19,29.0,6.7,1,1,13695396
Ghansoli,709.32,2.4597701149425286,2.5295887662988967,14,21.0,19.1,1,0,6896106
Nerul,1328.37,2,1.0,2,18.0,13.7,0,0,14758426
Airoli,1220.05,2,1.0,5,29.0,2.3,1,0,17264166
Ulwe,621.93,2,3.0,31,10.0,0.5,0,0,11615881
Vashi,1427.58,1,2.0,6,19.0,6.0,1,0,24082437
Panvel,855.39,2.4597701149425286,1.0,3,19.846280312371558,0.1,0,0,9859374
nerul,1187.01,2,2.5295887662988967,11,29.0,7.3,1,0,12893194
Belapur,1073.25,1,2.5295887662988967,1,16.0,12.4,0,1,13202992
Kharghar,1262.43,4,3.0,16,5.0,8.1,0,1,25554649
panvel,1336.37,2,2.0,21,6.0,8.5,0,0,21282349
Kharghar,3430.9657487994687,3,2.5295887662988967,24,29.0,2.3,1,1,104748766
nerul,969.72,2.4597701149425286,2.0,27,11.0,12.6,1,1,10803564
nerul,353.23,3,3.0,27,25.0,11.0,1,0,6000048
Airoli,1222.94,1,2.5295887662988967,16,37.0,13.7,0,0,14337806
Ghansoli,1862.76,2,2.5295887662988967,33,27.0,5.1,1,0,24876160
Ghansoli,806.15,3,2.5295887662988967,6,32.0,9.8,1,0,12605937
KHARGHAR,97.77,2,4.0,20,29.0,12.6,0,0,1436310
Vashi,1090.25,2,4.0,16.55400254129606,5.0,10.9,1,1,16942680
Ghansoli,1307.96,1,2.0,5,6.0,1.8,0,0,17684818
Ghansoli,1380.14,4,2.0,18,13.0,9.3,0,0,17512565
CBD Belapur,425.33,1,2.0,22,25.0,13.2,0,0,5262624
Airoli,254.37,4,1.0,14,28.0,14.7,0,1,2853090
CBD Belapur,1037.41,3,1.0,0,10.0,14.1,0,1,15496561
Nerul,1692.99,1,4.0,31,22.0,2.6,1,0,30049593
Vashi,742.09,2.4597701149425286,1.0,1,6.0,0.5,1,0,8202895
panvel,506.76,4,2.5295887662988967,12,19.0,13.9,1,0,7927125
CBD Belapur,895.28,2,3.0,10,17.0,4.2,0,1,11460526
CBD Belapur,854.93,2,4.0,32,8.0,8.5,0,1,16001089
Belapur,1277.11,2.4597701149425286,1.0,14,37.0,16.3,0,1,13782452
Airoli,1659.08,2,4.0,13,13.0,8.6,0,0,29922360
Panvel,1509.74,1,3.0,9,25.0,13.5,0,0,15623695
Airoli,3430.9657487994687,1,2.0,26,34.0,4.2,1,1,50507091.96410894
Belapur,1380.4,4,2.5295887662988967,23,19.846280312371558,8.1,1,0,22066760
Ghansoli,886.59,2,2.5295887662988967,27,11.0,7.8,1,1,9627599
Belapur,1155.45,2,4.0,1,19.846280312371558,8.2,0,1,19565076
Ulwe,1180.62,4,2.5295887662988967,14,19.846280312371558,9.9,1,0,18788851
nerul,736.3,1,2.0,32,11.0,8.9,1,0,14316510
Vashi,331.71,2,2.0,34,19.0,17.5,0,1,4361539
Nerul,1067.58,2,3.0,0,1.0,9.0,0,1,11800812
panvel,1212.54,2,4.0,14,24.0,13.0,0,0,20587671
Nerul,2021.24,3,2.5295887662988967,16.55400254129606,17.0,5.1,0,0,21914819
Airoli,91.26,3,2.5295887662988967,12,37.0,9.4,0,0,2370289
panvel,707.32,3,2.0,4,2.0,9.3,0,0,9922089
Airoli,960.15,2.4597701149425286,4.0,23,16.0,3.7,0,0,16215457
Ulwe,1266.15,2.4597701149425286,2.0,14,22.0,15.8,0,0,12742206
Ulwe,813.8,3,1.0,26,17.0,7.9,0,0,12642992
KHARGHAR,2125.1,2.4597701149425286,2.0,16.55400254129606,11.0,2.8,0,1,19900877
KHARGHAR,1104.19,2,1.0,29,12.0,10.5,0,1,11004956
KHARGHAR,919.0,2,1.0,9,19.0,7.6,0,1,8510853
panvel,997.84,2,4.0,16,38.0,12.9,0,0,15206168
Kharghar,282.09,2.4597701149425286,2.0,23,33.0,18.6,0,1,4543744
CBD Belapur,1100.88,3,3.0,0,14.0,17.4,0,1,19146857
Belapur,350.05,2.4597701149425286,2.5295887662988967,32,25.0,8.0,1,0,4273359
Ulwe,1005.23,1,1.0,26,4.0,3.3,0,1,11955031
Airoli,1053.95,1,3.0,13,16.0,12.7,1,1,13986244
KHARGHAR,1343.62,2,1.0,20,16.0,18.4,1,1,20996050
Belapur,1134.02,2,2.0,22,13.0,17.2,0,1,12172580
KHARGHAR,1546.29,2.4597701149425286,3.0,11,36.0,8.9,0,1,27437551
Ulwe,913.53,2.4597701149425286,1.0,13,14.0,5.4,0,1,14531832
Ulwe,1235.64,2,2.0,3,7.0,7.1,0,0,12153214
Panvel,789.17,2,2.0,7,33.0,7.5,0,0,13839792
Vashi,282.05,2.4597701149425286,1.0,8,16.0,9.8,1,1,3701975
Airoli,323.74,1,2.5295887662988967,20,32.0,10.0,0,1,4197564
panvel,977.14,2.4597701149425286,1.0,24,25.0,13.1,0,1,10674665
nerul,1708.72,1,4.0,16.55400254129606,13.0,6.5,1,1,20429700
KHARGHAR,862.45,2.4597701149425286,4.0,18,10.0,12.6,1,1,11795952
nerul,3430.9657487994687,2,2.0,16.55400254129606,7.0,5.7,0,0,50507091.96410894
Kharghar,1297.84,2,2.0,28,3.0,16.1,0,1,18970194
Ulwe,2990.07,3,4.0,16,36.0,11.1,1,0,50507091.96410894
CBD Belapur,805.89,1,2.0,10,2.0,11.7,0,0,8253669
Panvel,954.46,4,2.5295887662988967,1,31.0,12.3,0,0,14746774
nerul,687.43,2,4.0,27,27.0,6.9,1,1,9013010
Belapur,431.31,3,3.0,8,39.0,7.8,0,1,5508989
KHARGHAR,529.94,1,3.0,24,39.0,12.5,1,0,7735492
nerul,629.24,3,4.0,12,14.0,6.7,1,0,7110691
Ulwe,-8.43,4,2.0,13,31.0,3.9,0,1,-1202867
Airoli,3430.9657487994687,2,4.0,11,13.0,9.7,1,0,50507091.96410894
Ghansoli,1196.7,1,3.0,6,23.0,4.2,1,0,12048732
Ulwe,108.86,1,2.0,7,30.0,1.9,1,0,895211
panvel,429.92,2.4597701149425286,3.0,34,31.0,17.3,0,0,4706233
Vashi,82.12,2.4597701149425286,3.0,10,29.0,12.9,0,0,727600
panvel,847.34,2,4.0,8,13.0,5.0,1,0,11752618
panvel,353.02,2.4597701149425286,3.0,32,19.0,2.0,0,1,5451755
Ulwe,232.77,1,2.0,27,2.0,6.3,1,0,2835586
Panvel,1302.7,2,2.5295887662988967,31,6.0,1.9,1,1,15604654
Ghansoli,1331.1,2,4.0,9,32.0,3.3,0,0,17586979
Panvel,650.26,4,1.0,10,8.0,6.7,0,1,9440187
Kharghar,864.62,2.4597701149425286,4.0,18,26.0,9.9,0,1,11820390
Ulwe,419.8,2,3.0,4,31.0,12.2,0,0,4569608
Airoli,1054.33,2,3.0,19,7.0,7.9,1,0,10871879
nerul,851.25,2.4597701149425286,1.0,34,26.0,20.9,0,0,13191692
panvel,456.6,2,2.5295887662988967,2,39.0,0.9,0,0,6369746
Panvel,455.33,2,2.5295887662988967,11,8.0,5.4,1,0,4417179
Vashi,1003.77,1,2.5295887662988967,17,22.0,11.5,1,1,16844616
Airoli,878.19,1,4.0,5,23.0,13.4,0,0,15260458
CBD Belapur,1240.72,4,4.0,19,26.0,4.2,0,1,26906861
Ghansoli,802.17,4,2.5295887662988967,16.55400254129606,39.0,0.2,0,0,15292698
Panvel,1150.27,3,3.0,16.55400254129606,20.0,8.3,0,1,13429997
Ulwe,933.47,1,2.0,6,24.0,8.1,0,0,16971693
Ulwe,840.86,3,4.0,10,18.0,13.8,1,1,11618478
Vashi,54.86,1,2.5295887662988967,22,2.0,6.0,1,1,975419
Airoli,1048.76,2,2.5295887662988967,30,20.0,1.2,0,0,15423200
Kharghar,1062.81,2,1.0,34,2.0,7.1,1,0,15371966
Kharghar,696.69,1,4.0,11,5.0,7.4,0,0,9388518
Nerul,823.57,4,3.0,5,9.0,9.9,0,1,16599303
Airoli,892.36,2,2.5295887662988967,9,8.0,0.7,0,1,14608074
Nerul,114.57,4,2.5295887662988967,24,36.0,0.7,1,1,1716959
Kharghar,929.0,2,2.0,15,6.0,7.1,1,1,11979195
KHARGHAR,1175.71,2,3.0,20,39.0,5.0,0,0,12102117
Kharghar,1842.52,3,3.0,18,18.0,11.8,0,0,27719758
Belapur,228.45,2.4597701149425286,4.0,14,6.0,6.4,1,1,2826294
Belapur,92.22,2,1.0,25,29.0,19.4,0,0,112277
Ulwe,988.29,2,3.0,2,7.0,4.4,1,0,17223595
Ghansoli,552.36,1,2.5295887662988967,5,22.0,7.8,0,0,8678291
Belapur,372.58,2.4597701149425286,4.0,5,22.0,12.1,0,1,3470891
Nerul,713.49,1,1.0,24,27.0,3.1,0,1,9117343
Airoli,1192.73,4,2.0,16.55400254129606,31.0,13.8,1,0,12275997
Kharghar,3430.9657487994687,2,2.0,9,38.0,17.0,1,1,50507091.96410894
Ghansoli,1115.26,4,2.5295887662988967,22,30.0,6.6,1,0,16480448
Panvel,521.26,3,2.0,5,8.0,3.5,1,0,8701633
Kharghar,138.93,2,1.0,15,27.0,2.7,0,1,1820950
Airoli,480.96,1,4.0,18,39.0,7.9,0,1,8665278
Airoli,536.22,2,1.0,18,6.0,0.5,1,1,6224682
